G,id_uncertain,id_new,id_alt,id_old,type_x,type_uncertain,context_x,remnant,SN_year,SN_association,age_min (yr),age_max (yr),distance_min (kpc),distance_max (kpc),size_coarse (arcmin),size_imprecise,size_radio,size_X,J2000_ra (hh:mm:ss),J2000_dec (dd:mm:ss),J2000_from,source_from_x,normalized_name,l,b,RA,Dec,size,type_y,flux,s,other name(s),name,source_from_y,context_y,pulsar-CCO,uncertain-pulsar,type_uncertain_green,SNR_id,Xray,gamma_TeV,gamma_GeV,source_flag,info,radio
G093.3+06.9,,,"DA 530, 4C(T)55.38.1",G93.2+6.7,thermal & plerionic composite,1.0,contains PWN?,"eje,PWN?",,,3200.0,7000.0,4.4,,23.0,,27'x20',,20:52:25,55:21:00,Green J coord,snrcat,G093.3+06.9,93.3,6.9,20 52 25,+55 21,27x20,C?,9,0.45,"DA 530, 4C(T)55.38.1",G93.3+6.9,green,contains PWN?,,,1,G093.3+06.9,pwn||shell|shell & pwn|shell,||||,|shell|||,pwn|shell|shell|shell & pwn|shell,pwnX|shellgamma_GeV|shellX|shell & pwnX|shellX,yes
G106.3+02.7,,,Boomerang,G106.6+2.9,plerionic composite,,contains PSR J2229+6114 and PWN G106.65+2.96 = the Boomerang,"eje?,PSR,PWN",,,3900.0,,0.7,0.8,38.0,1.0,60'x24',,22:27:30,60:50:00,Green J coord,snrcat,G106.3+02.7,106.3,2.7,22 27 30,+60 50,60x24,C?,6,0.6,,G106.3+2.7,green,contains PSR J2229+6114 and PWN G106.65+2.96 = the Boomerang,PSR J2229+6114,,1,G106.3+02.7,|pwn|pwn|||||||pwn|pwn||shell & pwn||,|||||shell|shell||||||||,shell|||pwn|shell & pwn||||||||||,shell|pwn|pwn|pwn|shell & pwn|shell|shell|||pwn|pwn||shell & pwn||,shellgamma_GeV|pwnX|pwnX|pwngamma_GeV|shell & pwngamma_GeV|shellgamma_TeV|shellgamma_TeV|gamma_TeV|gamma_TeV|pwnX|pwnX|X|shell & pwnX|gamma_TeV|gamma_TeV,yes
G119.5+10.2,,,CTA 1,G119.5+10.3,plerionic composite,,contains PSR J0007+7303 + PWN G119.65+10.46,"eje,PSR,PWN",,,13000.0,13000.0,1.07,1.11,90.0,,90',,00:06:40,72:45:00,Green J coord,snrcat,G119.5+10.2,119.5,10.2,00 06 40,+72 45,90?,S,36,0.6,CTA 1,G119.5+10.2,green,contains PSR J0007+7303 + PWN G119.65+10.46,PSR J0007+7303,,0,G119.5+10.2,|shell & pwn|pwn|||||||shell & pwn|pwn||,||||||pwn|||||pwn|,shell & pwn|||||shell & pwn|||||||,shell & pwn|shell & pwn|pwn|||shell & pwn|pwn|||shell & pwn|pwn|pwn|,shell & pwngamma_GeV|shell & pwnX|pwnX|gamma_GeV|X|shell & pwngamma_GeV|pwngamma_TeV|X|X|shell & pwnX|pwnX|pwngamma_TeV|X,yes
G130.7+03.1,,,"3C58, SN1181?",,plerionic composite,1.0,PWN 3C58 and PSR J0205+6449,"eje,PSR,PWN",1181.0,probable,,7000.0,2.0,3.2,6.7,1.0,9'x5',9'x5',02:05:41,64:49:00,Green J coord,snrcat,G130.7+03.1,130.7,3.1,02 05 41,+64 49,9x5,F,33,0.07,"3C58, SN1181",G130.7+3.1,green,PWN 3C58 and PSR J0205+6449,PSR J0205+6449,,0,G130.7+03.1,pwn||pwn|pwn|pwn||pwn|pwn|||pwn|pwn|||shell & pwn,||||||||pwn|pwn|||pwn||,|||||shell & pwn|||||||||,pwn||pwn|pwn|pwn|shell & pwn|pwn|pwn|pwn|pwn|pwn|pwn|pwn||shell & pwn,pwnX|X|pwnX|pwnX|pwnX|shell & pwngamma_GeV|pwnX|pwnX|pwngamma_TeV|pwngamma_TeV|pwnX|pwnX|pwngamma_TeV|gamma_TeV|shell & pwnX,yes
G180.0-01.7,,,"S147, Sh2-240, Spaghetti Nebula",,plerionic composite,,contains PSR J0538+2817 and PWN G179.72-1.69,"eje,PSR,PWN",,,26000.0,34000.0,1.3,1.5,180.0,,180',,05:39:00,27:50:00,Green J coord,snrcat,G180.0-01.7,180.0,-1.7,05 39 00,+27 50,180,S,65,varies,S147,G180.0-1.7,green,contains PSR J0538+2817 and PWN G179.72-1.69,PSR J0538+2817,,0,G180.0-01.7,|pwn||shell|||,||||||,||||shell||,|pwn||shell|shell||,gamma_GeV|pwnX|gamma_GeV|shellX|shellgamma_GeV|gamma_TeV|X,yes
G189.1+03.0,,,"IC443, 3C157, Sh2-248, Jellyfish Nebula",,thermal & plerionic composite,,"next to HII region S249, overlaps SNR G189.6+03.3, contains runaway NS CXOU J061705.3+222127 + PWN G189.23+2.90","eje,NS,PWN",837.0,dubious,3000.0,30000.0,0.7,2.0,45.0,,45',,06:17:00,22:34:00,Green J coord,snrcat,G189.1+03.0,189.1,3.0,06 17 00,+22 34,45,C,165,0.36,"IC443, 3C157",G189.1+3.0,green,"next to HII region S249, overlaps SNR G189.6+03.3, contains runaway NS CXOU J061705.3+222127 + PWN G189.23+2.90",CCO,,0,G189.1+03.0,|shell||pwn||shell|||shell|pwn||||pwn|shell||shell|||||pwn,|||||||shell||||||||shell||||pwn||,||||pwn|||||||||||||||||,|shell||pwn|pwn|shell||shell|shell|pwn||||pwn|shell|shell|shell|||pwn||pwn,gamma_GeV|shellX|X|pwnX|pwngamma_GeV|shellX|gamma_GeV|shellgamma_TeV|shellX|pwnX|gamma_TeV|X|gamma_TeV|pwnX|shellX|shellgamma_TeV|shellX|gamma_TeV|X|pwngamma_TeV|gamma_TeV|pwnX,yes
G189.6+03.3,1.0,,,,plerionic composite,1.0,"overlaps SNR G189.1+03.0 = IC443, contains PSR + PWN ?","eje,PSR?,PWN?",,,30000.0,100000.0,1.3,1.7,68.0,,78'x60',"~30""",06:18:30,22:10:00,paper J coord,snrcat,G189.6+03.3,189.6,3.3,06 19 40,+22 00,90?,S,?,?,,G189.6+3.3,green,"overlaps SNR G189.1+03.0 = IC443, contains PSR + PWN ?",,1,0,G189.6+03.3,pwn||shell|shell,|||,|shell||,pwn|shell|shell|shell,pwnX|shellgamma_GeV|shellX|shellX,yes
G263.9-03.3,,,"Vela, contains NGC 2736 = Pencil Nebula",,plerionic composite,,"overlaps SNR G260.4-3.4 and SNR G266.2-1.2, contains PSR B0833-45 = J0835-4510 = Vela + PWN Vela X (unrelated to eclipsing binary Vela X-1)","eje,PSR,PWN",,,9000.0,27000.0,0.25,0.3,255.0,,255',1.5',08:34:00,-45:50:00,Green J coord,snrcat,G263.9-03.3,263.9,-3.3,08 34 00,-45 50,255,C,1750,varies,Vela (XYZ),G263.9-3.3,green,"overlaps SNR G260.4-3.4 and SNR G266.2-1.2, contains PSR B0833-45 = J0835-4510 = Vela + PWN Vela X (unrelated to eclipsing binary Vela X-1)",PSR B0833-45,,0,G263.9-03.3,|||pwn|||shell & pwn|shell & pwn||shell||pwn|shell|pwn|pwn|shell & pwn|shell||pwn||shell & pwn,||||||||||pwn||||||||||,pwn||||||||pwn||||||||||||,pwn|||pwn|||shell & pwn|shell & pwn|pwn|shell|pwn|pwn|shell|pwn|pwn|shell & pwn|shell||pwn||shell & pwn,pwngamma_GeV|X|gamma_TeV|pwnX|gamma_GeV|gamma_GeV|shell & pwnX|shell & pwnX|pwngamma_GeV|shellX|pwngamma_TeV|pwnX|shellX|pwnX|pwnX|shell & pwnX|shellX|gamma_GeV|pwnX|X|shell & pwnX,yes
G291.0-00.1,,,(MSH 11-62),,plerionic composite,,contains PWN G291.02-0.11 + PSR candidate CXOU J111148.6-603926,"eje,PSR?,PWN",,,1300.0,10000.0,3.0,10.0,14.0,,15'x13',,11:11:54,-60:38:00,Green J coord,snrcat,G291.0-00.1,291.0,-0.1,11 11 54,-60 38,15x13,C,16,0.29,(MSH 11-62),G291.0-0.1,green,contains PWN G291.02-0.11 + PSR candidate CXOU J111148.6-603926,CCO,1,0,G291.0-00.1,pwn|shell & pwn||pwn|||shell & pwn,||||||,||||shell & pwn||,pwn|shell & pwn||pwn|shell & pwn||shell & pwn,pwnX|shell & pwnX|gamma_GeV|pwnX|shell & pwngamma_GeV|gamma_TeV|shell & pwnX,yes
G292.0+01.8,,,MSH 11-54,,plerionic composite,,contains PSR J1124-5916 + PWN G292.04+1.75,"eje,PSR,PWN",,,2930.0,3050.0,6.0,6.2,9.8,,12'x8',,11:24:36,-59:16:00,Green J coord,snrcat,G292.0+01.8,292.0,1.8,11 24 36,-59 16,12x8,C,15,0.4,MSH 11-54,G292.0+1.8,green,contains PSR J1124-5916 + PWN G292.04+1.75,PSR J1124-5916,,0,G292.0+01.8,|shell & pwn|shell|shell||shell||||shell|shell,||||||||||,||||shell & pwn||||||,|shell & pwn|shell|shell|shell & pwn|shell||||shell|shell,X|shell & pwnX|shellX|shellX|shell & pwngamma_GeV|shellX|gamma_TeV|X|X|shellX|shellX,yes
G292.2-00.5,,,,,thermal & plerionic composite,,contains high-B PSR J1119-6127 + PWN G292.15-0.54,"eje,PSR,PWN",,,4200.0,7100.0,8.1,9.7,17.0,,20'x15',,11:19:20,-61:28:00,Green J coord,snrcat,G292.2-00.5,292.2,-0.5,11 19 20,-61 28,20x15,S,7,0.5,,G292.2-0.5,green,contains high-B PSR J1119-6127 + PWN G292.15-0.54,PSR J1119-6127,,0,G292.2-00.5,||shell & pwn||||||shell,||||shell & pwn||||,|||shell|||||,||shell & pwn|shell|shell & pwn||||shell,gamma_GeV|X|shell & pwnX|shellgamma_GeV|shell & pwngamma_TeV|X|X|X|shellX,yes
G293.8+00.6,,,,,plerionic composite,1.0,contains PWN G293.79+0.58? and PSR J1135-6055 (related?),"eje,PSR?,PWN?",,,,,,,20.0,,20',,11:35:00,-60:54:00,Green J coord,snrcat,G293.8+00.6,293.8,0.6,11 35 00,-60 54,20,C,5?,0.6?,,G293.8+0.6,green,contains PWN G293.79+0.58? and PSR J1135-6055 (related?),PSR J1135-6055,1,0,G293.8+00.6,|pwn||,|||,|||,|pwn||,gamma_GeV|pwnX|gamma_GeV|gamma_TeV,yes
G308.8-00.1,,,,G308.7+0.0,plerionic composite,1.0,contains PSR J1341-6220 = B1338-62 + PWN,"eje?,PSR,PWN",,,,,3.32,4.52,25.0,,30'x20',,13:42:30,-62:23:00,Green J coord,snrcat,G308.8-00.1,308.8,-0.1,13 42 30,-62 23,30x20?,C?,15?,0.4?,,G308.8-0.1,green,contains PSR J1341-6220 = B1338-62 + PWN,PSR J1341-6220,,1,G308.8-00.1,||,||,||,||,X|gamma_GeV|gamma_TeV,yes
G310.6-01.6,,,,,plerionic composite,,contains PSR J1400-6325 + PWN,"eje,PSR,PWN",,,700.0,2000.0,5.0,10.0,2.5,,2.5',,14:00:45,-63:26:00,Green J coord,snrcat,G310.6-01.6,310.6,-1.6,14 00 45,-63 26,2.5,C?,?,?,,G310.6-1.6,green,contains PSR J1400-6325 + PWN,PSR J1400-6325,,1,G310.6-01.6,shell & pwn|||pwn|pwn|pwn,|||||,|||||,shell & pwn|||pwn|pwn|pwn,shell & pwnX|gamma_GeV|gamma_TeV|pwnX|pwnX|pwnX,yes
G315.9-00.0,,,,G315.8-0.0,plerionic composite,,contains PSR J1437-5959 + PWN G315.78-0.23 = the Frying Pan,"eje,PSR,PWN",,,,,3.53,3.89,19.0,1.0,25'x14',,14:38:25,-60:11:00,Green J coord,snrcat,G315.9-00.0,315.9,0.0,14 38 25,-60 11,25x14,S,0.8?,?,,G315.9-0.0,green,contains PSR J1437-5959 + PWN G315.78-0.23 = the Frying Pan,PSR J1437-5959,,0,G315.9-00.0,||,||,||,||,X|gamma_GeV|gamma_TeV,yes
G318.9+00.4,1.0,,,,plerionic composite,1.0,contains PWN?,"eje?,PWN?",,,,,3.08,3.72,21.0,1.0,30'x14',,14:58:30,-58:29:00,Green J coord,snrcat,G318.9+00.4,318.9,0.4,14 58 30,-58 29,30x14,C,4?,0.2?,,G318.9+0.4,green,contains PWN?,,,0,G318.9+00.4,||,||,||,||,X|gamma_GeV|gamma_TeV,yes
G320.4-01.2,,,"RCW 89, MSH 15-52, Jellyfish",,plerionic composite,,"overlaps SNR G320.6-01.6, contains PSR J1513-5908 = B1509-58 = the Dragon + PWN = the Jellyfish","eje,PSR,PWN",185.0,suggested,1900.0,1900.0,3.8,6.6,35.0,,35',1.6',15:14:30,-59:08:00,Green J coord,snrcat,G320.4-01.2,320.4,-1.2,15 14 30,-59 08,35,C,60?,0.4,"MSH 15-52, RCW 89",G320.4-1.2,green,"overlaps SNR G320.6-01.6, contains PSR J1513-5908 = B1509-58 = the Dragon + PWN = the Jellyfish",PSR J1513-5908,,0,G320.4-01.2,||shell & pwn||shell & pwn||pwn|pwn||pwn||pwn||pwn||pwn|pwn||pwn,|||pwn|||||||pwn||||||||,||||||||pwn||||||||||,||shell & pwn|pwn|shell & pwn||pwn|pwn|pwn|pwn|pwn|pwn||pwn||pwn|pwn||pwn,gamma_GeV|X|shell & pwnX|pwngamma_TeV|shell & pwnX|gamma_MeV|pwnX|pwnX|pwngamma_GeV|pwnX|pwngamma_TeV|pwnX|X|pwnX|X|pwnX|pwnX|X|pwnX,yes
G322.5-00.1,,,,,plerionic composite,1.0,"contains PWN?, contains planetary nebula Pe 2-8","eje,PWN?",,,,,,,15.0,,15',,15:23:23,-57:06:00,Green J coord,snrcat,G322.5-00.1,322.5,-0.1,15 23 23,-57 06,15,C,1.5,0.4,,G322.5-0.1,green,"contains PWN?, contains planetary nebula Pe 2-8",,,0,G322.5-00.1,|,|,|,|,gamma_GeV|gamma_TeV,yes
G326.3-01.8,,,"MSH 15-56, Kes 25",G326.2-1.7,plerionic composite,,contains PWN G326.12-1.81,"eje,PWN",,,9800.0,16500.0,3.4,5.8,38.0,,38',,15:53:00,-56:10:00,Green J coord,snrcat,G326.3-01.8,326.3,-1.8,15 53 00,-56 10,38,C,145,varies,MSH 15-56,G326.3-1.8,green,contains PWN G326.12-1.81,,,0,G326.3-01.8,|shell & pwn|||||shell|shell|shell & pwn,||||||||,||shell||shell & pwn||||,|shell & pwn|shell||shell & pwn||shell|shell|shell & pwn,X|shell & pwnX|shellgamma_GeV|X|shell & pwngamma_GeV|gamma_TeV|shellX|shellX|shell & pwnX,yes
G327.1-01.1,,,,,plerionic composite,,contains PWN G327.15-1.04 = the Snail,"eje,PWN",,,17000.0,17000.0,4.52,9.0,18.0,,18',,15:54:25,-55:09:00,Green J coord,snrcat,G327.1-01.1,327.1,-1.1,15 54 25,-55 09,18,C,7,?,,G327.1-1.1,green,contains PWN G327.15-1.04 = the Snail,,,0,G327.1-01.1,|shell & pwn|shell & pwn|shell & pwn||||shell & pwn|pwn,||||||pwn||,|||||shell & pwn|||,|shell & pwn|shell & pwn|shell & pwn||shell & pwn|pwn|shell & pwn|pwn,gamma_GeV|shell & pwnX|shell & pwnX|shell & pwnX|X|shell & pwngamma_GeV|pwngamma_TeV|shell & pwnX|pwnX,yes
G337.2+00.1,,,,,plerionic composite,1.0,contains PWN?,"eje,PWN?",,,1500.0,1500.0,14.0,14.0,2.5,,3'x2',,16:35:55,-47:20:00,Green J coord,snrcat,G337.2+00.1,337.2,0.1,16 35 55,-47 20,3x2,?,1.5?,?,,G337.2+0.1,green,contains PWN?,,,1,G337.2+00.1,shell|||pwn,||shell & pwn|,|||,shell||shell & pwn|pwn,shellX|gamma_GeV|shell & pwngamma_TeV|pwnX,yes
G338.3-00.0,,,,,plerionic composite,,"contains PSR J1640-4631 and PWN G338.3-0.0, connected to SNR G338.5+00.1 by HII region G338.45+0.06","eje,PSR,PWN",,,1000.0,8000.0,8.0,13.0,8.0,,8',,16:41:00,-46:34:00,Green J coord,snrcat,G338.3-00.0,338.3,0.0,16 41 00,-46 34,8,C?,7?,?,,G338.3-0.0,green,"contains PSR J1640-4631 and PWN G338.3-0.0, connected to SNR G338.5+00.1 by HII region G338.45+0.06",PSR J1640-4631,,1,G338.3-00.0,||pwn|||||pwn|pwn,|||||shell & pwn|||,pwn||||shell & pwn||||,pwn||pwn||shell & pwn|shell & pwn||pwn|pwn,pwngamma_GeV|X|pwnX|gamma_GeV|shell & pwngamma_GeV|shell & pwngamma_TeV|X|pwnX|pwnX,yes
G341.2+00.9,,,,,plerionic composite,,contains PSR J1646-4346 = B1643-43 + PWN,"eje,PSR,PWN",,,,,3.87,4.73,19.0,,22'x16',,16:47:35,-43:47:00,Green J coord,snrcat,G341.2+00.9,341.2,0.9,16 47 35,-43 47,22x16,C,1.5?,0.6?,,G341.2+0.9,green,contains PSR J1646-4346 = B1643-43 + PWN,PSR J1646-4346,,0,G341.2+00.9,|,|,|,|,gamma_GeV|gamma_TeV,yes
G343.1-02.3,,,,,plerionic composite,1.0,PSR J1709-4429 = B1706-44 + PWN G343.10-2.69 near the edge,"eje?,PSR?,PWN?",,,,,,,32.0,,32',,17:08:00,-44:16:00,Green J coord,snrcat,G343.1-02.3,343.1,-2.3,17 08 00,-44 16,32?,C?,8?,0.5?,,G343.1-2.3,green,PSR J1709-4429 = B1706-44 + PWN G343.10-2.69 near the edge,PSR J1709-4429,,1,G343.1-02.3,||||pwn||||pwn||,|||||||shell & pwn|||,shell & pwn||||||||||,shell & pwn||||pwn|||shell & pwn|pwn||,shell & pwngamma_GeV|X|X|gamma_TeV|pwnX|gamma_GeV|gamma_GeV|shell & pwngamma_TeV|pwnX|X|X,yes
G351.2+00.1,,,,G351.3+0.2,plerionic composite,1.0,,eje,,,,,,,7.0,,7',,17:22:27,-36:11:00,Green J coord,snrcat,G351.2+00.1,351.2,0.1,17 22 27,-36 11,7,C?,5?,0.4,,G351.2+0.1,green,,,,1,G351.2+00.1,|,|,|,|,gamma_GeV|gamma_TeV,yes
G354.1+00.1,1.0,,,,plerionic composite,1.0,PSR J1730-3350 = B1727-33 at the edge,"eje?,PSR?",,,,,,,6.7,1.0,15'x3',,17:30:28,-33:46:00,Green J coord,snrcat,G354.1+00.1,354.1,0.1,17 30 28,-33 46,15x3?,C?,?,varies,,G354.1+0.1,green,PSR J1730-3350 = B1727-33 at the edge,PSR J1730-3350,,1,G354.1+00.1,||,||,||,||,X|gamma_GeV|gamma_TeV,yes
,,,,,,,,,,,,,,,,,,,,,,,G029.3+00.1,29.3,0.1,18 44 36,-03 06,10?,C?,2.5?,?,,G29.3+0.1,green,,,,1,,Nan,Nan,Nan,,,yes
